iter	Passed	Remaining
1473	96730	41080
1474	96790	41013
1475	96856	40947
1476	96920	40880
1477	96982	40814
1478	97044	40746
1479	97108	40680
1480	97171	40613
1481	97232	40546
1482	97297	40480
1483	97363	40414
1484	97428	40348
1485	97493	40283
1486	97555	40216
1487	97616	40148
1488	97675	40080
1489	97738	40013
1490	97800	39946
1491	97862	39879
1492	97924	39812
1493	97995	39749
1494	98056	39681
1495	98132	39620
1496	98196	39554
1497	98259	39487
1498	98328	39423
1499	98392	39357
1500	98454	39289
1501	98515	39222
1502	98575	39154
1503	98657	39095
1504	98734	39034
1505	98816	38975
1506	98894	38914
1507	98977	38856
1508	99067	38799
1509	99141	38737
1510	99212	38673
1511	99283	38610
1512	99358	38548
1513	99456	38495
1514	99546	38438
1515	99627	38378
1516	99697	38315
1517	99772	38252
1518	99841	38188
1519	99908	38122
1520	99978	38058
1521	100060	37999
1522	100149	37942
1523	100217	37877
1524	100289	37813
1525	100358	37749
1526	100426	37684
1527	100490	37618
1528	100552	37550
1529	100614	37483
1530	100679	37417
1531	100739	37349
1532	100797	37281
1533	100869	37217
1534	100932	37151
1535	101007	37088
1536	101087	37028
1537	101158	36964
1538	101222	36897
1539	101284	36830
1540	101343	36762
1541	101406	36695
1542	101470	36629
1543	101537	36563
1544	101597	36496
1545	101660	36429
1546	101723	36362
1547	101803	36302
1548	101879	36239
1549	101949	36175
1550	102018	36110
1551	102089	36047
1552	102164	35984
1553	102243	35923
1554	102326	35863
1555	102406	35802
1556	102494	35744
1557	102571	35682
1558	102638	35617
1559	102704	35551
1560	102776	35487
1561	102848	35423
1562	102926	35362
1563	102993	35296
1564	103052	35228
1565	103113	35161
1566	103176	35094
1567	103242	35028
1568	103308	34962
1569	103372	34896
1570	103437	34830
1571	103500	34763
1572	103564	34697
1573	103629	34631
1574	103696	34565
1575	103759	34498
1576	103823	34432
1577	103887	34365
1578	103950	34299
1579	104010	34231
1580	104073	34164
1581	104135	34097
1582	104194	34029
1583	104256	33962
1584	104321	33896
1585	104386	33830
1586	104453	33764
1587	104513	33697
1588	104577	33630
1589	104638	33563
1590	104699	33495
1591	104782	33435
1592	104856	33372
1593	104932	33309
1594	105006	33246
1595	105089	33186
1596	105163	33122
1597	105242	33061
1598	105330	33002
1599	105397	32936
1600	105466	32871
1601	105542	32808
1602	105609	32743
1603	105678	32678
1604	105746	32613
1605	105809	32546
1606	105877	32481
1607	105947	32416
1608	106009	32349
1609	106078	32284
1610	106141	32217
1611	106201	32150
1612	106265	32083
1613	106332	32018
1614	106396	31951
1615	106455	31883
1616	106523	31818
1617	106590	31753
1618	106654	31686
1619	106716	31619
1620	106782	31553
1621	106853	31489
1622	106916	31422
1623	106975	31354
1624	107053	31292
1625	107113	31225
1626	107179	31159
1627	107242	31092
1628	107298	31023
1629	107364	30957
1630	107424	30890
1631	107484	30822
1632	107546	30755
1633	107603	30687
1634	107664	30620
1635	107726	30553
1636	107789	30486
1637	107850	30419
1638	107910	30351
1639	107967	30283
1640	108039	30219
1641	108129	30160
1642	108188	30092
1643	108254	30026
1644	108320	29961
1645	108390	29896
1646	108462	29832
1647	108531	29767
1648	108599	29701
1649	108680	29640
1650	108762	29578
1651	108829	29513
1652	108887	29445
1653	108948	29377
1654	109010	29310
1655	109083	29246
1656	109155	29182
1657	109219	29116
1658	109278	29048
1659	109337	28980
